,index,0,1,2,3,4,5,6,7
157,157,          0.00,       1333.80,       1333.80,       1333.80,          0.00,          0.00,        666.20,          0.00
158,158,          0.00,       2620.00,       2620.00,       2400.00,        220.00,          0.00,          0.00,        220.00
159,159,       1317.16,      14274.81,      15591.97,      13288.84,       2303.13,          0.00,          0.00,        274.81
160,160,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,        100.00,          0.00
161,161,          0.00,         94.01,         94.01,         94.01,          0.00,          0.00,        105.99,          0.00
162,162,          0.00,         27.04,         27.04,         27.04,          0.00,          0.00,         72.96,          0.00
163,163,          0.00,         36.83,         36.83,         36.83,          0.00,          0.00,         63.17,          0.00
164,164,          0.00,       1150.89,       1150.89,       1150.89,          0.00,          0.00,        849.11,          0.00
165,165,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,        200.00,          0.00
166,166,        215.75,       2250.48,       2466.23,       2313.76,        152.47,          0.00,       1749.52,          0.00
167,167,          0.00,       2623.59,       2623.59,       2623.59,          0.00,          0.00,          0.00,       1623.59
168,168,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,        200.00,          0.00
169,169,         68.28,        172.21,        240.49,        240.49,          0.00,          0.00,        127.79,          0.00
170,170,         56.90,          0.00,         56.90,         56.90,          0.00,          0.00,          0.00,          0.00
171,171,          0.00,     671871.15,     671871.15,     671871.15,          0.00,          0.00,          0.00,      69971.15
172,172,          0.00,      40866.84,      40866.84,      40866.84,          0.00,          0.00,        633.16,          0.00
173,173,          0.00,      69181.46,      69181.46,      69181.46,          0.00,          0.00,          0.00,       2781.46
174,174,          0.00,       2828.40,       2828.40,       2828.40,          0.00,          0.00,       2171.60,          0.00
175,175,          0.00,     505466.19,     505466.19,     505466.19,          0.00,          0.00,          0.00,       5466.19
176,176,          0.00,       7750.35,       7750.35,       7750.35,          0.00,          0.00,          0.00,       2650.35
177,177,          0.00,      27243.46,      27243.46,      27243.46,          0.00,          0.00,      12756.54,          0.00
178,178,          0.00,        944.40,        944.40,        944.40,          0.00,          0.00,          0.00,         44.40
179,179,          0.00,       5453.69,       5453.69,       5453.69,          0.00,          0.00,          0.00,        453.69
180,180,          0.00,       5275.48,       5275.48,       5275.48,          0.00,          0.00,          0.00,        175.48
181,181,          0.00,      47369.08,      47369.08,      47369.08,          0.00,          0.00,       2630.92,          0.00
182,182,          0.00,      30516.39,      30516.39,      30516.39,          0.00,          0.00,      11483.61,          0.00
183,183,          0.00,       3393.94,       3393.94,       3393.94,          0.00,          0.00,       1206.06,          0.00
184,184,          0.00,      50708.12,      50708.12,      50708.12,          0.00,          0.00,      29291.88,          0.00
185,185,          0.00,     149199.71,     149199.71,     149199.71,          0.00,          0.00,      70800.29,          0.00
186,186,          0.00,      27033.31,      27033.31,      27033.31,          0.00,          0.00,          0.00,       1433.31
187,187,          0.00,       2663.47,       2663.47,       2663.47,          0.00,          0.00,       1736.53,          0.00
188,188,       2668.27,       6536.40,       9204.67,       8566.43,        638.24,          0.00,        663.60,          0.00
189,189,        109.53,        317.31,        426.84,        329.58,         97.26,          0.00,         82.69,          0.00
190,190,       3193.99,       7052.64,      10246.63,       8581.67,       1664.96,          0.00,       1547.36,          0.00
191,191,          0.00,         33.21,         33.21,         33.21,          0.00,          0.00,          0.00,         33.21
192,192,        762.43,       5280.73,       6043.16,       4175.78,       1867.38,          0.00,          0.00,       1780.73
193,193,         47.04,       1177.22,       1224.26,       1224.26,          0.00,          0.00,          0.00,        977.22
194,194,         37.14,          0.00,         37.14,         37.14,          0.00,          0.00,       1600.00,          0.00
195,195,          0.00,       6047.38,       6047.38,       5983.54,         63.84,          0.00,          0.00,       1047.38
196,196,          0.00,        195.70,        195.70,        195.70,          0.00,          0.00,       2204.30,          0.00
197,197,          0.00,        129.72,        129.72,        129.72,          0.00,          0.00,        170.28,          0.00
198,198,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,        200.00,          0.00
199,199,          9.73,         85.72,         95.45,         73.08,         22.37,          0.00,        114.28,          0.00
200,200,          0.00,      66622.34,      66622.34,      66622.34,          0.00,          0.00,      15377.66,          0.00
201,201,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,       6800.00,          0.00
202,202,          0.00,       2839.99,       2839.99,       2655.92,        184.07,          0.00,          0.00,       2839.99
203,203,          0.00,      48557.28,      48557.28,      48557.28,          0.00,          0.00,          0.00,      18557.28
204,204,          0.00,        875.67,        875.67,        875.67,          0.00,          0.00,         24.33,          0.00
205,205,        715.81,        685.24,       1401.05,       1401.05,          0.00,          0.00,      16614.76,          0.00
206,206,          0.00,        610.60,        610.60,        610.60,          0.00,          0.00,          0.00,        610.60
207,207,       4021.76,      14211.30,      18233.06,      15472.76,       2760.30,          0.00,          0.00,       3411.30
208,208,          0.00,      41150.20,      41150.20,      41150.20,          0.00,          0.00,          0.00,       1750.20
209,209,          0.00,      16095.87,      16095.87,      16095.87,          0.00,          0.00,       7904.13,          0.00
210,210,          0.00,       1877.58,       1877.58,       1251.72,        625.86,          0.00,          0.00,       1877.58
211,211,       4862.74,      12343.41,      17206.15,      14732.31,       2473.84,          0.00,          0.00,       4143.41
212,212,         73.75,        474.28,        548.03,        548.03,          0.00,       8200.00,       7925.72,          0.00
213,213,       1282.22,       4268.92,       5551.14,       4459.26,       1091.88,          0.00,          0.00,       1668.92
214,214,          0.00,         48.30,         48.30,         48.30,          0.00,          0.00,        951.70,          0.00
215,215,          0.00,        611.80,        611.80,        611.80,          0.00,          0.00,        588.20,          0.00
216,216,          0.00,       3774.96,       3774.96,       3774.96,          0.00,          0.00,       6225.04,          0.00
217,217,        704.70,        367.05,       1071.75,       1005.97,         65.78,          0.00,       1632.95,          0.00
218,218,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,        200.00,          0.00
219,219,          0.00,     215202.00,     215202.00,     215202.00,          0.00,          0.00,          0.00,          2.00
220,220,          0.00,      17458.00,      17458.00,      17458.00,          0.00,          0.00,       2542.00,          0.00
221,221,          0.00,       1231.60,       1231.60,       1231.60,          0.00,          0.00,          0.00,       1231.60
222,222,          0.00,      71049.76,      71049.76,      44665.76,      26384.00,          0.00,          0.00,      44349.76
223,223,        571.82,       2083.32,       2655.14,       2655.14,          0.00,          0.00,        216.68,          0.00
224,224,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,        200.00,          0.00
225,225,          0.00,       9666.00,       9666.00,          0.00,       9666.00,          0.00,          0.00,       9666.00
226,226,         81.85,       1300.02,       1381.87,       1240.07,        141.80,          0.00,          0.00,        300.02
227,227,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,       1500.00,          0.00
228,228,          0.00,      12783.92,      12783.92,      12783.92,          0.00,          0.00,       1216.08,          0.00
229,229,          0.00,      13274.16,      13274.16,       7367.82,       5906.34,          0.00,      10725.84,          0.00
230,230,          0.00,       1499.86,       1499.86,       1499.86,          0.00,          0.00,          0.00,        199.86
231,231,          0.00,       3710.32,       3710.32,       3710.32,          0.00,          0.00,       3289.68,          0.00
232,232,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,        100.00,          0.00
233,233,          0.00,       6302.35,       6302.35,       6294.16,          8.19,          0.00,       6597.65,          0.00
234,234,        377.33,       7373.54,       7750.87,       6715.73,       1035.14,          0.00,          0.00,       1373.54
235,235,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,        400.00,          0.00
236,236,          0.00,       8421.59,       8421.59,       8421.59,          0.00,          0.00,          0.00,       8421.59
237,237,          0.00,      24760.45,      24760.45,      24760.45,          0.00,          0.00,         39.55,          0.00
238,238,        301.20,       4935.22,       5236.42,       2941.26,       2295.16,          0.00,       1064.78,          0.00
239,239,          0.00,          0.97,          0.97,          0.97,          0.00,          0.00,          0.00,          0.97
240,240,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,       2000.00,          0.00
241,241,          0.00,        127.28,        127.28,        127.28,          0.00,          0.00,        272.72,          0.00
242,242,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,        100.00,          0.00
243,243,          0.00,        354.68,        354.68,        354.68,          0.00,          0.00,          0.00,         54.68
244,244,          0.00,          7.56,          7.56,          7.56,          0.00,          0.00,         92.44,          0.00
245,245,        327.60,       4203.76,       4531.36,       4531.36,          0.00,          0.00,       2796.24,          0.00
246,246,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,       1000.00,          0.00
247,247,          0.00,      15664.95,      15664.95,      15664.95,          0.00,          0.00,       6335.05,          0.00
248,248,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,       2500.00,          0.00
249,249,          0.00,         75.59,         75.59,         75.59,          0.00,          0.00,          0.00,         75.59
250,250,          0.00,        107.87,        107.87,        107.87,          0.00,          0.00,          0.00,          7.87
251,251,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,        100.00,          0.00
252,252,          0.00,     968629.63,     968629.63,     968629.63,          0.00,          0.00,          0.00,      62429.63
253,253,          0.00,      11371.80,      11371.80,      11371.80,          0.00,          0.00,          0.00,         71.80
